"","CoreArea","variable","value"
"223","Elk Basin East","sip95_0_5",35.1249225657
"224","Elk Basin East","sip95_5_15",34.899743763
"225","Elk Basin West","bdmn_0_5",1.35699084972
"226","Elk Basin West","bdmn_5_15",1.36581881966
"227","Elk Basin West","bdp5_0_5",1.13110672771
"228","Elk Basin West","bdp5_5_15",1.15225698629
"229","Elk Basin West","bdp50_0_5",1.34271283357
"230","Elk Basin West","bdp50_5_15",1.35315523194
"231","Elk Basin West","bdp95_0_5",1.51351901502
"232","Elk Basin West","bdp95_5_15",1.50569001786
"233","Elk Basin West","clmn_0_5",14.0160336965
"234","Elk Basin West","clmn_5_15",15.4525641882
"235","Elk Basin West","clp5_0_5",4.85993915619
"236","Elk Basin West","clp5_5_15",5.21259306701
"237","Elk Basin West","clp50_0_5",12.3753502522
"238","Elk Basin West","clp50_5_15",13.5354335121
"239","Elk Basin West","clp95_0_5",25.063781923
"240","Elk Basin West","clp95_5_15",27.7850372268
"241","Elk Basin West","samn_0_5",56.3985454434
"242","Elk Basin West","samn_5_15",54.2068601714
"243","Elk Basin West","sap5_0_5",20.2049075334
"244","Elk Basin West","sap5_5_15",18.4205988312
"245","Elk Basin West","sap50_0_5",56.6307981747
"246","Elk Basin West","sap50_5_15",55.5924345529
"247","Elk Basin West","sap95_0_5",77.5364582499
"248","Elk Basin West","sap95_5_15",74.6009206629
"249","Elk Basin West","simn_0_5",26.5174588091
"250","Elk Basin West","simn_5_15",26.8622469122
"251","Elk Basin West","sip5_0_5",8.37647105916
"252","Elk Basin West","sip5_5_15",8.92829237051
"253","Elk Basin West","sip50_0_5",23.4644223841
"254","Elk Basin West","sip50_5_15",23.9130974301
"255","Elk Basin West","sip95_0_5",41.1860619646
"256","Elk Basin West","sip95_5_15",42.0858938436
"257","Fontenelle","bdmn_0_5",1.2889920072
"258","Fontenelle","bdmn_5_15",1.2988618923
"259","Fontenelle","bdp5_0_5",1.06225420277
"260","Fontenelle","bdp5_5_15",1.08380932023
"261","Fontenelle","bdp50_0_5",1.26647688928
"262","Fontenelle","bdp50_5_15",1.28944887777
"263","Fontenelle","bdp95_0_5",1.45718245193
"264","Fontenelle","bdp95_5_15",1.45371004013
"265","Fontenelle","clmn_0_5",14.8607717446
"266","Fontenelle","clmn_5_15",16.6861769777
"267","Fontenelle","clp5_0_5",6.08000639608
"268","Fontenelle","clp5_5_15",8.20188684436
"269","Fontenelle","clp50_0_5",13.5156140067
"270","Fontenelle","clp50_5_15",15.4676839647
"271","Fontenelle","clp95_0_5",24.1116690681
"272","Fontenelle","clp95_5_15",24.7749950998
"273","Fontenelle","samn_0_5",52.5151646006
"274","Fontenelle","samn_5_15",49.8578996827
"275","Fontenelle","sap5_0_5",28.2710635722
"276","Fontenelle","sap5_5_15",27.8579660457
"277","Fontenelle","sap50_0_5",50.3359501106
"278","Fontenelle","sap50_5_15",48.6332599732
"279","Fontenelle","sap95_0_5",68.9167934994
"280","Fontenelle","sap95_5_15",65.1016911793
"281","Fontenelle","simn_0_5",29.2175310353
"282","Fontenelle","simn_5_15",29.6243858166
